,Name,Platform,Publisher,Developer,Global_Sales,Genre,Platform_Brand,Platform_Type,esrb_rating,userscore,critic_reviews,user_reviews,num_players,Story Focus,Gameplay Focus,Series,score,opencritic_classification,metascore_range
64,Men of War: Vietnam,PC,1C Company  ,1C Company  ,0.13,Strategy,PC,PC,T,5.3,19.0,42.0,1 Player,0.0,1.0,0.0,,,Fair
72,Off-Road Drive,PC,1C Company  ,Avalon Style  ,0.04,Racing,PC,PC,,5.9,10.0,19.0,1 Player,0.0,1.0,0.0,,,Fair
76,Men of War: Assault Squad,PC,1C Company  ,Digitalmindsoft  ,0.06,Strategy,PC,PC,T,8.0,21.0,114.0,1 Player,0.0,1.0,0.0,,,Strong
86,King's Bounty: Armored Princess,PC,1C Company  ,Katauri Interactive  ,0.01,Strategy,PC,PC,T,8.6,25.0,244.0,1 Player,0.0,1.0,0.0,,,Mighty
124,BioShock,X360,2K Games  ,2K Australia / 2K Boston  ,2.83,Shooter,Microsoft,HomeConsole,M,9.0,88.0,2901.0,1 Player,1.0,1.0,1.0,,,Excellent
125,BioShock,PC,2K Games  ,2K Australia / 2K Boston  ,1.3,Shooter,PC,PC,M,8.6,44.0,5558.0,1 Player,1.0,1.0,1.0,,,Excellent
127,BioShock,PS3,2K Games  ,2K Boston / 2K Australia / 2K Marin  ,1.44,Shooter,Sony,HomeConsole,M,8.9,51.0,1350.0,1 Player,1.0,1.0,1.0,,,Excellent
131,BioShock 2,X360,2K Games  ,2K Marin  ,2.2,Shooter,Microsoft,HomeConsole,M,8.2,93.0,710.0,"1 Player, 10 Players Online Up to 10 Players",1.0,1.0,1.0,,,Mighty
132,BioShock 2,PC,2K Games  ,2K Marin  ,1.56,Shooter,PC,PC,M,8.1,36.0,1910.0,"1 Player, 10 Players Online Online Multiplayer",1.0,1.0,1.0,,,Mighty
133,BioShock 2,PS3,2K Games  ,2K Marin  ,1.55,Shooter,Sony,HomeConsole,M,8.2,62.0,679.0,"1 Player, 10 Players Online Up to 10 Players",1.0,1.0,1.0,,,Mighty
137,The Bureau: XCOM Declassified,PS3,2K Games  ,2K Marin  ,0.27,Shooter,Sony,HomeConsole,M,6.8,22.0,86.0,1 Player,0.0,1.0,0.0,,,Fair
138,The Bureau: XCOM Declassified,X360,2K Games  ,2K Marin  ,0.22,Shooter,Microsoft,HomeConsole,M,6.9,30.0,124.0,1 Player,0.0,1.0,0.0,,,Fair
139,The Bureau: XCOM Declassified,PC,2K Games  ,2K Marin  ,0.05,Shooter,PC,PC,M,6.5,45.0,681.0,1 Player,0.0,1.0,0.0,,,Fair
140,Fantastic Four: Rise of the Silver Surfer,PS2,2K Games  ,7 Studios  ,0.39,Action,Sony,HomeConsole,T,6.3,7.0,19.0,1-4 Players,0.0,1.0,0.0,,,Weak
141,Fantastic Four: Rise of the Silver Surfer,Wii,2K Games  ,7 Studios  ,0.05,Action,Nintendo,HomeConsole,T,5.9,16.0,15.0,1-4 Players,0.0,1.0,0.0,,,Weak
142,Fantastic Four: Rise of the Silver Surfer,DS,2K Games  ,7 Studios  ,0.04,Action,Nintendo,Handheld,E10+,4.8,8.0,13.0,1 Player,0.0,1.0,0.0,,,Weak
157,Ghost Rider,PSP,2K Games  ,Climax Group  ,0.24,Action,Sony,Handheld,T,5.8,17.0,17.0,1-4 Players,0.0,1.0,0.0,,,Weak
158,Ghost Rider,PS2,2K Games  ,Climax Group  ,0.0,Action,Sony,HomeConsole,T,6.9,37.0,34.0,1 Player,0.0,1.0,0.0,,,Weak
159,Serious Sam II,XB,2K Games  ,Croteam  ,0.06,Shooter,Microsoft,HomeConsole,M,6.5,34.0,15.0,"1-4 Players, 4 Players Online",0.0,1.0,0.0,,,Strong
160,Serious Sam II,PC,2K Games  ,Croteam  ,0.01,Shooter,PC,PC,M,7.2,31.0,277.0,"1-16 Players, 16 Players Online",0.0,1.0,0.0,,,Strong
162,Motocross Mania 3,XB,2K Games  ,Deibus Studios  ,0.02,Racing,Microsoft,HomeConsole,T,3.3,9.0,6.0,1-2 Players,0.0,1.0,0.0,,,Weak
163,Close Combat: First to Fight,XB,2K Games  ,Destineer  ,0.18,Shooter,Microsoft,HomeConsole,T,6.5,46.0,12.0,1 Player,0.0,1.0,0.0,,,Fair
164,Close Combat: First to Fight,PC,2K Games  ,Destineer  ,0.0,Shooter,PC,PC,T,4.5,21.0,13.0,"1-8 Players, 8 Players Online",0.0,1.0,0.0,,,Fair
165,The Darkness II,X360,2K Games  ,Digital Extremes  ,0.4,Shooter,Microsoft,HomeConsole,M,7.6,71.0,264.0,"1-4 Players, Up to 4 Players",1.0,1.0,1.0,,,Mighty
166,The Darkness II,PS3,2K Games  ,Digital Extremes  ,0.32,Shooter,Sony,HomeConsole,M,7.9,28.0,149.0,"1-4 Players, Up to 4 Players",1.0,1.0,1.0,,,Strong
167,The Darkness II,PC,2K Games  ,Digital Extremes  ,0.14,Shooter,PC,PC,M,7.6,20.0,578.0,1 Player,1.0,1.0,1.0,,,Strong
168,The Da Vinci Code,PS2,2K Games  ,Double Helix Games  ,0.14,Action,Sony,HomeConsole,T,8.0,43.0,28.0,1 Player,0.0,1.0,0.0,,,Weak
169,The Da Vinci Code,XB,2K Games  ,Double Helix Games  ,0.04,Action,Microsoft,HomeConsole,T,2.8,34.0,5.0,1 Player,0.0,1.0,0.0,,,Weak
170,The Da Vinci Code,PC,2K Games  ,Double Helix Games  ,0.0,Action,PC,PC,T,5.6,24.0,9.0,1 Player,0.0,1.0,0.0,,,Weak
171,Ford Racing 3,PS2,2K Games  ,Empire Interactive  ,0.26,Racing,Sony,HomeConsole,E,7.6,7.0,18.0,1-2 Players,0.0,1.0,0.0,,,Weak
174,Ford Mustang: The Legend Lives,XB,2K Games  ,Eutechnyx  ,0.09,Racing,Microsoft,HomeConsole,E,7.4,13.0,5.0,1-2 Players,0.0,1.0,0.0,,,Weak
175,Sid Meier's Civilization Revolution,DS,2K Games  ,Firaxis  ,0.45,Strategy,Nintendo,Handheld,E10+,7.8,26.0,27.0,1 Player,0.0,1.0,0.0,,,Mighty
182,Sid Meier's Civilization IV,PC,2K Games  ,Firaxis Games  ,3.2,Strategy,PC,PC,E10+,8.2,50.0,1135.0,"1-12 Players, 12 Players Online Online Multiplayer",0.0,1.0,0.0,,,Excellent
184,Sid Meier's Civilization Revolution,X360,2K Games  ,Firaxis Games  ,0.83,Strategy,Microsoft,HomeConsole,E10+,8.0,55.0,191.0,"1-4 Players, 4 Players Online Up to 4 Players",0.0,1.0,0.0,,,Mighty
186,Sid Meier's Civilization V,PC,2K Games  ,Firaxis Games  ,12.0,Strategy,PC,PC,E10+,8.0,70.0,2870.0,Up to 4 Players,0.0,1.0,0.0,,,Excellent
194,Sid Meier's Civilization VI,PC,2K Games  ,Firaxis Games  ,0.44,Strategy,PC,PC,E10+,7.0,84.0,1469.0,Online Multiplayer,0.0,1.0,0.0,89.0,Mighty,Mighty
195,Sid Meier's Civilization VI,NS,2K Games  ,Firaxis Games  ,0.25,Strategy,Nintendo,HomeConsole,E10+,7.6,31.0,213.0,1 Player,0.0,1.0,0.0,89.0,Mighty,Mighty
197,Sid Meier's Civilization: Beyond Earth,PC,2K Games  ,Firaxis Games  ,0.4,Simulation,PC,PC,E10+,5.5,78.0,1077.0,1 Player,0.0,1.0,0.0,81.0,Strong,Mighty
203,XCOM 2,PC,2K Games  ,Firaxis Games  ,0.31,Strategy,PC,PC,T,7.3,104.0,1631.0,2 Players,1.0,1.0,1.0,87.0,Mighty,Mighty
204,XCOM 2,PS4,2K Games  ,Firaxis Games  ,0.31,Strategy,Sony,HomeConsole,E,7.3,29.0,475.0,2 Players,1.0,1.0,1.0,87.0,Mighty,Mighty
205,XCOM 2,XOne,2K Games  ,Firaxis Games  ,0.19,Strategy,Microsoft,HomeConsole,T,7.6,17.0,109.0,2 Players,1.0,1.0,1.0,87.0,Mighty,Mighty
208,XCOM: Enemy Unknown,PC,2K Games  ,Firaxis Games  ,0.72,Strategy,PC,PC,M,8.2,57.0,2550.0,2 Players No Online Multiplayer,0.0,1.0,1.0,,,Mighty
209,XCOM: Enemy Unknown,X360,2K Games  ,Firaxis Games  ,0.63,Sports,Microsoft,HomeConsole,M,8.3,35.0,404.0,2 Players,0.0,1.0,1.0,,,Excellent
210,XCOM: Enemy Unknown,PS3,2K Games  ,Firaxis Games  ,0.59,Strategy,Sony,HomeConsole,M,8.2,20.0,329.0,2 Players,0.0,1.0,1.0,,,Mighty
213,Stronghold Legends,PC,2K Games  ,FireFly Studios  ,0.02,Strategy,PC,PC,T,7.6,19.0,70.0,"1-4 Players, 4 Players Online",0.0,1.0,0.0,,,Weak
219,Battleborn,PS4,2K Games  ,Gearbox Software  ,0.48,Shooter,Sony,HomeConsole,T,6.8,55.0,423.0,Up to 10 Players,0.0,1.0,0.0,70.0,Fair,Fair
220,Battleborn,XOne,2K Games  ,Gearbox Software  ,0.28,Shooter,Microsoft,HomeConsole,T,7.1,20.0,179.0,Up to 10 Players,0.0,1.0,0.0,70.0,Fair,Strong
221,Battleborn,PC,2K Games  ,Gearbox Software  ,0.2,Shooter,PC,PC,T,7.0,34.0,406.0,Online Multiplayer Up to 10 Players,0.0,1.0,0.0,70.0,Fair,Fair
222,Borderlands,X360,2K Games  ,Gearbox Software  ,3.48,Shooter,Microsoft,HomeConsole,M,8.1,83.0,826.0,"1-4 Players, 4 Players Online Up to 4 Players",0.0,1.0,1.0,,,Mighty
223,Borderlands,X360,2K Games  ,Gearbox Software  ,3.48,Shooter,Microsoft,HomeConsole,M,7.6,37.0,1774.0,"1-4 Players, 4 Players Online Up to 4 Players",0.0,1.0,1.0,,,Mighty
225,Borderlands,PC,2K Games  ,Gearbox Software  ,0.17,Shooter,PC,PC,K-A,5.8,19.0,70.0,Up to 12 Players,0.0,1.0,1.0,,,Mighty
226,Borderlands 2,X360,2K Games  ,Gearbox Software  ,11.0,Shooter,Microsoft,HomeConsole,M,8.3,59.0,1010.0,Up to 4 Players,0.0,1.0,1.0,86.0,Mighty,Mighty
227,Borderlands 2,X360,2K Games  ,Gearbox Software  ,11.0,Shooter,Microsoft,HomeConsole,M,8.3,59.0,1010.0,Up to 4 Players,0.0,1.0,0.0,86.0,Mighty,Mighty
228,Borderlands 2,PS3,2K Games  ,Gearbox Software  ,2.27,Shooter,Sony,HomeConsole,M,8.2,25.0,1053.0,Up to 4 Players,0.0,1.0,1.0,86.0,Mighty,Excellent
229,Borderlands 2,PS3,2K Games  ,Gearbox Software  ,2.27,Shooter,Sony,HomeConsole,M,8.2,25.0,1053.0,Up to 4 Players,0.0,1.0,0.0,86.0,Mighty,Excellent
230,Borderlands 2,PC,2K Games  ,Gearbox Software  ,0.94,Shooter,PC,PC,M,8.2,38.0,3449.0,Up to 4 Players,0.0,1.0,1.0,86.0,Mighty,Mighty
231,Borderlands 2,PC,2K Games  ,Gearbox Software  ,0.94,Shooter,PC,PC,M,8.2,38.0,3449.0,Up to 4 Players,0.0,1.0,0.0,86.0,Mighty,Mighty
232,Borderlands 2,PSV,2K Games  ,Gearbox Software  ,0.68,Shooter,Sony,Handheld,M,7.6,31.0,372.0,2 Players,0.0,1.0,1.0,86.0,Mighty,Fair
233,Borderlands 2,PSV,2K Games  ,Gearbox Software  ,0.68,Shooter,Sony,Handheld,M,7.6,31.0,372.0,2 Players,0.0,1.0,0.0,86.0,Mighty,Fair
245,Borderlands: The Handsome Collection,PS4,2K Games  ,Gearbox Software  ,1.28,Shooter,Sony,HomeConsole,M,7.9,49.0,623.0,Up to 4 Players,0.0,1.0,1.0,81.0,Strong,Mighty
246,Borderlands: The Handsome Collection,XOne,2K Games  ,Gearbox Software  ,0.68,Shooter,Microsoft,HomeConsole,M,8.0,11.0,170.0,Up to 4 Players,0.0,1.0,1.0,81.0,Strong,Mighty
249,Duke Nukem Forever,PC,2K Games  ,Gearbox Software  ,0.89,Shooter,PC,PC,M,5.8,48.0,1256.0,1 Player,0.0,1.0,0.0,,,Weak
250,Duke Nukem Forever,X360,2K Games  ,Gearbox Software  ,0.83,Shooter,Microsoft,HomeConsole,M,4.5,76.0,486.0,"1 Player, Up to 8 Players",0.0,1.0,0.0,,,Weak
251,Duke Nukem Forever,PS3,2K Games  ,Gearbox Software  ,0.76,Shooter,Sony,HomeConsole,M,4.9,48.0,312.0,"1 Player, Up to 8 Players",0.0,1.0,0.0,,,Weak
252,Mafia III,PS4,2K Games  ,Hangar 13  ,2.87,Action-Adventure,Sony,HomeConsole,M,5.3,67.0,1886.0,1 Player,1.0,1.0,0.0,,,Fair
253,Mafia III,XOne,2K Games  ,Hangar 13  ,1.11,Action-Adventure,Microsoft,HomeConsole,M,5.1,21.0,428.0,1 Player,1.0,1.0,0.0,,,Fair
254,Mafia III,PC,2K Games  ,Hangar 13  ,0.85,Action-Adventure,PC,PC,M,3.9,31.0,1654.0,1 Player,1.0,1.0,0.0,,,Fair
261,Call of Cthulhu: Dark Corners of the Earth,XB,2K Games  ,Headfirst Productions  ,0.06,Adventure,Microsoft,HomeConsole,M,8.2,51.0,47.0,1 Player,0.0,1.0,0.0,,,Strong
262,Call of Cthulhu: Dark Corners of the Earth,PC,2K Games  ,Headfirst Productions  ,0.0,Adventure,PC,PC,M,7.6,17.0,233.0,1 Player,0.0,1.0,0.0,,,Strong
263,Family Guy,PSP,2K Games  ,High Voltage Software  ,0.19,Adventure,Sony,Handheld,M,6.2,14.0,18.0,1 Player,0.0,1.0,0.0,,,Weak
264,Family Guy,XB,2K Games  ,High Voltage Software  ,0.0,Adventure,Microsoft,HomeConsole,M,5.6,20.0,12.0,1 Player,0.0,1.0,0.0,,,Weak
265,Family Guy,PS2,2K Games  ,High Voltage Software  ,0.0,Adventure,Sony,HomeConsole,M,5.8,35.0,31.0,1 Player,0.0,1.0,0.0,,,Weak
266,Zathura,PS2,2K Games  ,High Voltage Software  ,0.12,Adventure,Sony,HomeConsole,E10+,3.3,16.0,6.0,1 Player,0.0,1.0,0.0,,,Weak
267,Zathura,XB,2K Games  ,High Voltage Software  ,0.02,Adventure,Microsoft,HomeConsole,E10+,5.4,15.0,5.0,1 Player,0.0,1.0,0.0,,,Weak
268,Prey,PC,2K Games  ,Human Head Studios  ,0.04,Shooter,PC,PC,M,8.2,38.0,1435.0,1 Player,0.0,1.0,0.0,81.0,Strong,Mighty
269,Mafia II,PC,2K Games  ,Illusion Softworks  ,2.31,Action,PC,PC,M,8.3,46.0,2314.0,1 Player,1.0,1.0,0.0,,,Strong
270,Mafia II,X360,2K Games  ,Illusion Softworks  ,1.56,Action,Microsoft,HomeConsole,M,8.0,79.0,688.0,1 Player,1.0,1.0,0.0,,,Strong
271,Mafia II,PS3,2K Games  ,Illusion Softworks  ,1.49,Action,Sony,HomeConsole,M,7.9,61.0,440.0,1 Player,1.0,1.0,0.0,,,Strong
272,BioShock Infinite,PC,2K Games  ,Irrational Games  ,4.56,Shooter,PC,PC,M,8.6,68.0,9406.0,1 Player,1.0,1.0,1.0,,,Excellent
273,BioShock Infinite,X360,2K Games  ,Irrational Games  ,1.97,Shooter,Microsoft,HomeConsole,M,8.5,33.0,1895.0,1 Player,1.0,1.0,1.0,,,Excellent
274,BioShock Infinite,PS3,2K Games  ,Irrational Games  ,1.82,Shooter,Sony,HomeConsole,M,8.5,27.0,2367.0,1 Player,1.0,1.0,1.0,,,Excellent
277,Conflict: Global Terror,PS2,2K Games  ,Pivotal Games  ,0.19,Shooter,Sony,HomeConsole,M,8.8,15.0,13.0,"1-4 Players, 4 Players Online",0.0,1.0,0.0,,,Fair
278,Conflict: Global Terror,XB,2K Games  ,Pivotal Games  ,0.1,Shooter,Microsoft,HomeConsole,M,7.9,24.0,8.0,"1-4 Players, 4 Players Online",0.0,1.0,0.0,,,Fair
279,Conflict: Global Terror,PC,2K Games  ,Pivotal Games  ,0.0,Shooter,PC,PC,M,7.1,10.0,18.0,"1 Player, 4 Players Online",0.0,1.0,0.0,,,Fair
280,Shattered Union,XB,2K Games  ,PopTop Software  ,0.04,Strategy,Microsoft,HomeConsole,T,6.8,8.0,8.0,1 Player,0.0,1.0,0.0,,,Fair
281,Shattered Union,PC,2K Games  ,PopTop Software  ,0.0,Strategy,PC,PC,T,6.3,23.0,12.0,"1-2 Players, 2 Players Online",0.0,1.0,0.0,,,Fair
288,The Darkness,PS3,2K Games  ,Starbreeze  ,0.66,Shooter,Sony,HomeConsole,M,7.6,35.0,137.0,"1 Player, 8 Players Online Up to 8 Players",1.0,1.0,1.0,,,Mighty
289,The Darkness,X360,2K Games  ,Starbreeze  ,0.44,Shooter,Microsoft,HomeConsole,M,8.1,63.0,235.0,"1 Player, 8 Players Online Up to 8 Players",1.0,1.0,1.0,,,Mighty
295,Dungeon Siege: Throne of Agony,PSP,2K Games  ,SuperVillain Studios  ,0.16,Role-Playing,Sony,Handheld,T,8.0,32.0,28.0,"1-2 Players, 2 Players",0.0,1.0,0.0,,,Strong
297,Evolve,PS4,2K Games  ,Turtle Rock Studios  ,1.01,Shooter,Sony,HomeConsole,M,4.3,46.0,933.0,Up to 5 Players,0.0,1.0,0.0,73.0,Fair,Strong
298,Evolve,XOne,2K Games  ,Turtle Rock Studios  ,0.67,Shooter,Microsoft,HomeConsole,M,5.1,31.0,353.0,Up to 5 Players,0.0,1.0,0.0,73.0,Fair,Strong
299,Borderlands: The Pre-Sequel,X360,2K Games  ,Unknown  ,0.75,Misc,Microsoft,HomeConsole,M,6.7,16.0,205.0,Up to 4 Players,0.0,1.0,1.0,74.0,Fair,Strong
300,Borderlands: The Pre-Sequel,PS3,2K Games  ,Unknown  ,0.65,Misc,Sony,HomeConsole,M,6.9,24.0,195.0,Up to 4 Players,0.0,1.0,1.0,74.0,Fair,Strong
301,Borderlands: The Pre-Sequel,PC,2K Games  ,Unknown  ,0.32,Misc,PC,PC,M,6.4,55.0,985.0,Up to 4 Players,0.0,1.0,1.0,74.0,Fair,Strong
302,Evolve,PC,2K Games  ,Unknown  ,0.22,Misc,PC,PC,M,4.3,39.0,971.0,1 Player,0.0,1.0,0.0,73.0,Fair,Strong
308,Don King Presents: Prizefighter,X360,2K Games  ,Venom Games  ,0.25,Sports,Microsoft,HomeConsole,T,6.4,45.0,29.0,"1-2 Players, 8 Players Online",0.0,1.0,0.0,,,Weak
309,Prey,X360,2K Games  ,Venom Games / Human Head Studios  ,0.32,Shooter,Microsoft,HomeConsole,M,7.4,80.0,144.0,"1-8 Players, 8 Players Online Up to 8 Players",0.0,1.0,0.0,81.0,Strong,Strong
310,Fantastic Four: Rise of the Silver Surfer,PS3,2K Games  ,Visual Concepts  ,0.15,Action,Sony,HomeConsole,T,5.6,26.0,11.0,1-4 Players,0.0,1.0,0.0,,,Weak
311,Fantastic Four: Rise of the Silver Surfer,X360,2K Games  ,Visual Concepts  ,0.11,Action,Microsoft,HomeConsole,T,5.4,30.0,16.0,1-4 Players,0.0,1.0,0.0,,,Weak
315,Spec Ops: The Line,PS3,2K Games  ,Yager Development  ,0.55,Shooter,Sony,HomeConsole,M,8.2,27.0,434.0,Up to 8 Players,1.0,1.0,0.0,,,Strong
316,Spec Ops: The Line,X360,2K Games  ,Yager Development  ,0.42,Shooter,Microsoft,HomeConsole,M,8.3,59.0,378.0,1 Player,1.0,1.0,0.0,,,Strong
317,Spec Ops: The Line,PC,2K Games  ,Yager Development  ,0.23,Shooter,PC,PC,M,8.2,16.0,1734.0,1 Player,1.0,1.0,0.0,,,Strong
318,WWE 2K17,PS4,2K Games  ,Yuke's  ,1.22,Sports,Sony,HomeConsole,T,6.1,52.0,163.0,Up to 6 Players,0.0,1.0,0.0,67.0,Fair,Fair
319,WWE 2K17,XOne,2K Games  ,Yuke's  ,0.57,Sports,Microsoft,HomeConsole,T,5.0,12.0,50.0,Up to 6 Players,0.0,1.0,0.0,67.0,Fair,Fair
337,Carnival Games,DS,2K Play  ,Cat Daddy Games  ,2.04,Misc,Nintendo,Handheld,E,3.3,11.0,4.0,1-4 Players,0.0,1.0,0.0,65.0,Weak,Weak
363,Top Spin 4,PS3,2K Sports  ,2K Czech  ,0.69,Sports,Sony,HomeConsole,E,8.2,37.0,67.0,Up to 4 Players,0.0,1.0,0.0,,,Mighty
364,Top Spin 4,X360,2K Sports  ,2K Czech  ,0.41,Sports,Microsoft,HomeConsole,E,8.3,54.0,84.0,Up to 4 Players,0.0,1.0,0.0,,,Mighty
365,Top Spin 4,Wii,2K Sports  ,2K Czech  ,0.14,Sports,Nintendo,HomeConsole,E,7.4,14.0,25.0,1 Player,0.0,1.0,0.0,,,Weak
366,Don King Boxing,Wii,2K Sports  ,2K Shanghai  ,0.26,Sports,Nintendo,HomeConsole,T,5.5,17.0,4.0,1-2 Players,0.0,1.0,0.0,,,Weak
367,Amped 3,X360,2K Sports  ,2K Sports  ,0.16,Sports,Microsoft,HomeConsole,T,7.3,49.0,39.0,1-2 Players,0.0,1.0,0.0,,,Strong
369,NHL 2K7,PS3,2K Sports  ,2K Sports  ,0.13,Sports,Sony,HomeConsole,E10+,6.6,24.0,5.0,"1-4 Players, 8 Players Online Up to 8 Players",0.0,1.0,0.0,,,Strong
370,NHL 2K7,X360,2K Sports  ,2K Sports  ,0.08,Sports,Microsoft,HomeConsole,E10+,7.9,51.0,166.0,"1-4 Players, 8 Players Online Up to 8 Players",0.0,1.0,0.0,,,Strong
372,NHL 2K7,PS2,2K Sports  ,2K Sports  ,0.0,Sports,Sony,HomeConsole,E10+,8.0,12.0,8.0,"1-4 Players, 10 Players Online",0.0,1.0,0.0,,,Strong
376,World Poker Tour,PS2,2K Sports  ,2K Sports  ,0.21,Misc,Sony,HomeConsole,T,8.7,17.0,6.0,"1 Player, 6 Players Online",0.0,1.0,0.0,,,Fair
377,World Poker Tour,XB,2K Sports  ,2K Sports  ,0.06,Misc,Microsoft,HomeConsole,T,6.2,17.0,5.0,"1 Player, 6 Players Online",0.0,1.0,0.0,,,Fair
382,Top Spin 2,PC,2K Sports  ,Aspyr  ,0.0,Sports,PC,PC,E,7.2,8.0,21.0,"1-4 Players, 2 Players Online",0.0,1.0,0.0,,,Strong
384,MLB Front Office Manager,PS3,2K Sports  ,Blue Castle Games  ,0.08,Sports,Sony,HomeConsole,E,6.5,8.0,8.0,Up to 30 Players,0.0,1.0,0.0,,,Weak
385,MLB Front Office Manager,X360,2K Sports  ,Blue Castle Games  ,0.07,Sports,Microsoft,HomeConsole,E,4.6,13.0,10.0,"1 Player, 32 Players Online Up to 30 Players",0.0,1.0,0.0,,,Weak
403,Top Spin 2,X360,2K Sports  ,Indie Built  ,0.17,Sports,Microsoft,HomeConsole,E,6.8,52.0,25.0,"1-4 Players, 4 Players Online Up to 4 Players",0.0,1.0,0.0,,,Strong
406,Major League Baseball 2K5,PS2,2K Sports  ,Kush Games  ,1.48,Sports,Sony,HomeConsole,E,7.4,19.0,20.0,"1-2 Players, 2 Players Online",0.0,1.0,0.0,,,Mighty
407,Major League Baseball 2K5,XB,2K Sports  ,Kush Games  ,0.56,Sports,Microsoft,HomeConsole,E,8.2,25.0,17.0,"1-2 Players, 2 Players Online",0.0,1.0,0.0,,,Mighty
410,Major League Baseball 2K6,PS2,2K Sports  ,Kush Games  ,0.44,Sports,Sony,HomeConsole,E,5.2,19.0,27.0,"1-2 Players, 2 Players Online",0.0,1.0,0.0,,,Strong
411,Major League Baseball 2K6,X360,2K Sports  ,Kush Games  ,0.37,Sports,Microsoft,HomeConsole,E,4.1,22.0,38.0,"1-2 Players, 2 Players 2 Players Online",0.0,1.0,0.0,,,Fair
412,Major League Baseball 2K6,XB,2K Sports  ,Kush Games  ,0.33,Sports,Microsoft,HomeConsole,E,5.7,21.0,12.0,"1-2 Players, 2 Players Online",0.0,1.0,0.0,,,Strong
414,Major League Baseball 2K7,X360,2K Sports  ,Kush Games  ,0.72,Sports,Microsoft,HomeConsole,E,7.1,31.0,35.0,"1-2 Players, 2 Players 2 Players Online",0.0,1.0,0.0,,,Strong
416,Major League Baseball 2K7,PS3,2K Sports  ,Kush Games  ,0.25,Sports,Sony,HomeConsole,E,4.7,19.0,7.0,"1-2 Players, 2 Players 2 Players Online",0.0,1.0,0.0,,,Strong
418,Major League Baseball 2K8,X360,2K Sports  ,Kush Games  ,0.61,Sports,Microsoft,HomeConsole,E,5.9,28.0,34.0,"1-2 Players, 2 Players 2 Players Online",0.0,1.0,0.0,,,Strong
419,Major League Baseball 2K8,PS3,2K Sports  ,Kush Games  ,0.31,Sports,Sony,HomeConsole,E,5.6,23.0,8.0,"1-2 Players, 2 Players 2 Players Online",0.0,1.0,0.0,,,Fair
421,Major League Baseball 2K8,Wii,2K Sports  ,Kush Games  ,0.14,Sports,Nintendo,HomeConsole,E,7.6,10.0,16.0,1 Player,0.0,1.0,0.0,,,Fair
424,NHL 2K6,PS2,2K Sports  ,Kush Games  ,0.42,Sports,Sony,HomeConsole,E10+,5.8,28.0,18.0,"1-8 Players, 10 Players Online",0.0,1.0,0.0,,,Mighty
425,NHL 2K6,XB,2K Sports  ,Kush Games  ,0.21,Sports,Microsoft,HomeConsole,E10+,7.5,32.0,26.0,"1-4 Players, 8 Players Online",0.0,1.0,0.0,,,Mighty
426,NHL 2K6,X360,2K Sports  ,Kush Games  ,0.1,Sports,Microsoft,HomeConsole,E10+,7.8,23.0,8.0,1-2 Players,0.0,1.0,0.0,,,Strong
427,NHL 2K8,X360,2K Sports  ,Kush Games  ,0.13,Sports,Microsoft,HomeConsole,E10+,7.4,43.0,17.0,"1-8 Players, Up to 8 Players",0.0,1.0,0.0,,,Strong
428,NHL 2K8,PS3,2K Sports  ,Kush Games  ,0.09,Sports,Sony,HomeConsole,E10+,7.0,24.0,4.0,1-8 Players,0.0,1.0,0.0,,,Strong
430,Top Spin,PS2,2K Sports  ,Pam Development  ,0.1,Sports,Sony,HomeConsole,E,7.8,28.0,12.0,"1-4 Players, 2 Players Online",0.0,1.0,0.0,,,Fair
431,Top Spin 3,Wii,2K Sports  ,Pam Development  ,0.58,Sports,Nintendo,HomeConsole,E,5.7,18.0,29.0,1-4 Players,0.0,1.0,0.0,,,Fair
432,Top Spin 3,PS3,2K Sports  ,Pam Development  ,0.57,Sports,Sony,HomeConsole,E,7.5,36.0,21.0,"1-4 Players, 4 Players Online Up to 4 Players",0.0,1.0,0.0,,,Strong
433,Top Spin 3,X360,2K Sports  ,Pam Development  ,0.56,Sports,Microsoft,HomeConsole,E,7.7,47.0,40.0,"1-4 Players, 4 Players Online Up to 4 Players",0.0,1.0,0.0,,,Strong
435,MLB Power Pros,Wii,2K Sports  ,PawaPuro Production  ,0.29,Sports,Nintendo,HomeConsole,E,8.1,12.0,49.0,1-2 Players,0.0,1.0,0.0,,,Mighty
436,MLB Power Pros,PS2,2K Sports  ,PawaPuro Production  ,0.11,Sports,Sony,HomeConsole,E,8.2,10.0,13.0,1-2 Players,0.0,1.0,0.0,,,Mighty
437,MLB Power Pros 2008,PS2,2K Sports  ,PawaPuro Production  ,0.15,Sports,Sony,HomeConsole,E,8.5,9.0,8.0,1-2 Players,0.0,1.0,0.0,,,Fair
438,MLB Power Pros 2008,Wii,2K Sports  ,PawaPuro Production  ,0.13,Sports,Nintendo,HomeConsole,E,8.8,16.0,25.0,1 Player,0.0,1.0,0.0,,,Strong
448,NBA 2K6,PS2,2K Sports  ,Unknown  ,0.88,Action,Sony,HomeConsole,E,8.3,23.0,13.0,"1-8 Players, 10 Players Online",0.0,1.0,0.0,,,Mighty
449,NBA 2K6,XB,2K Sports  ,Unknown  ,0.36,Action,Microsoft,HomeConsole,E,8.1,27.0,17.0,"1-4 Players, 10 Players Online",0.0,1.0,0.0,,,Mighty
